Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P49842	STK19_HUMAN	reviewed	Serine/threonine-protein kinase 19 (EC 2.7.11.1) (Protein G11) (Protein RP1)	STK19 G11 RP1	Homo sapiens (Human)	368
O14746	TERT_HUMAN	reviewed	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132
Q9Y4A5	TRRAP_HUMAN	reviewed	Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)	TRRAP PAF400	Homo sapiens (Human)	3859
O43542	XRCC3_HUMAN	reviewed	DNA repair protein XRCC3 (X-ray repair cross-complementing protein 3)	XRCC3	Homo sapiens (Human)	346
P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
O75030	MITF_HUMAN	reviewed	Microphthalmia-associated transcription factor (Class E basic helix-loop-helix protein 32) (bHLHe32)	MITF BHLHE32	Homo sapiens (Human)	526
Q13126	MTAP_HUMAN	reviewed	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	MTAP MSAP	Homo sapiens (Human)	283
Q9UK53	ING1_HUMAN	reviewed	Inhibitor of growth protein 1	ING1	Homo sapiens (Human)	422
Q01844	EWS_HUMAN	reviewed	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein)	EWSR1 EWS	Homo sapiens (Human)	656
Q9NUX5	POTE1_HUMAN	reviewed	Protection of telomeres protein 1 (hPot1) (POT1-like telomere end-binding protein)	POT1	Homo sapiens (Human)	634
P60484	PTEN_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	Homo sapiens (Human)	403
P11802	CDK4_HUMAN	reviewed	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	CDK4	Homo sapiens (Human)	303
P42771	CDN2A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)	CDKN2A CDKN2 MTS1	Homo sapiens (Human)	156
Q92560	BAP1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Cerebral protein 6)	BAP1 KIAA0272 hucep-6	Homo sapiens (Human)	729
Q9NXR8	ING3_HUMAN	reviewed	Inhibitor of growth protein 3 (p47ING3)	ING3 HSPC301	Homo sapiens (Human)	418
Q9Y243	AKT3_HUMAN	reviewed	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	Homo sapiens (Human)	479
